해당동,독거노인수,65세-79세,80세이상,남,여,국민기초생활수급자,일반독거노인
수민동,1774,1277,497,501,1273,254,1389
복산동,1041,711,330,344,697,266,675
명륜동,850,594,256,260,590,212,562
온천1동,1271,945,326,443,828,313,837
온천2동,1099,785,314,309,790,208,822
온천3동,2044,1582,462,682,1362,431,994
사직1동,1025,677,348,278,747,133,678
사직2동,824,366,458,199,625,56,633
사직3동,1356,924,432,397,959,277,966
안락1동,1235,967,268,454,781,292,773
안락2동,1402,1057,345,397,1005,313,930
명장1동,977,742,235,291,686,244,624
명장2동,1266,945,321,364,902,179,991
